dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
26;59;2021-05-03;18763;5208;69283.0;27.1;7.5
26;64;2021-05-03;15864;2956;33560.0;47.3;8.8
26;69;2021-05-03;18792;4310;32308.0;58.2;13.3
26;74;2021-05-03;22492;9156;29997.0;75.0;30.5
26;79;2021-05-03;17287;13679;19941.0;86.7;68.6
26;80;2021-05-03;25531;20170;34888.0;73.2;57.8
27;24;2021-05-03;1125;333;40670.0;2.8;0.8
27;29;2021-05-03;1296;428;28567.0;4.5;1.5
27;39;2021-05-03;4583;1558;73301.0;6.3;2.1
27;49;2021-05-03;7222;2583;80019.0;9.0;3.2
27;59;2021-05-03;19901;5405;80762.0;24.6;6.7
27;64;2021-05-03;17164;3155;38454.0;44.6;8.2
27;69;2021-05-03;19355;4308;36662.0;52.8;11.8
27;74;2021-05-03;22459;9252;31470.0;71.4;29.4
27;79;2021-05-03;15845;12306;18731.0;84.6;65.7
27;80;2021-05-03;24280;19167;33986.0;71.4;56.4
28;24;2021-05-03;949;404;27514.0;3.4;1.5
28;29;2021-05-03;1079;470;20894.0;5.2;2.2
28;39;2021-05-03;3603;1511;51269.0;7.0;2.9
28;49;2021-05-03;5613;2373;55770.0;10.1;4.3
28;59;2021-05-03;15118;4163;57755.0;26.2;7.2
28;64;2021-05-03;13587;1920;27002.0;50.3;7.1
28;69;2021-05-03;15467;2227;26418.0;58.5;8.4
28;74;2021-05-03;17885;4757;23002.0;77.8;20.7
28;79;2021-05-03;11830;8723;13878.0;85.2;62.9
28;80;2021-05-03;20612;15633;28717.0;71.8;54.4
29;24;2021-05-03;3416;902;70022.0;4.9;1.3
29;29;2021-05-03;3753;1203;42569.0;8.8;2.8
29;39;2021-05-03;9848;3338;99828.0;9.9;3.3
29;49;2021-05-03;14201;5142;113799.0;12.5;4.5
29;59;2021-05-03;35742;10617;123509.0;28.9;8.6
29;64;2021-05-03;32674;4206;63508.0;51.4;6.6
29;69;2021-05-03;36097;4585;60999.0;59.2;7.5
29;74;2021-05-03;44052;11116;54208.0;81.3;20.5
29;79;2021-05-03;28381;18502;32298.0;87.9;57.3
29;80;2021-05-03;52340;36467;67044.0;78.1;54.4
2A;24;2021-05-03;837;171;9206.0;9.1;1.9
2A;29;2021-05-03;1138;324;7844.0;14.5;4.1
2A;39;2021-05-03;3700;1143;20657.0;17.9;5.5
2A;49;2021-05-03;6653;2265;22044.0;30.2;10.3
2A;59;2021-05-03;11244;4384;23268.0;48.3;18.8
2A;64;2021-05-03;6441;2789;10671.0;60.4;26.1
2A;69;2021-05-03;6963;3515;10602.0;65.7;33.2
2A;74;2021-05-03;6905;4328;9731.0;71.0;44.5
2A;79;2021-05-03;5031;4029;7933.0;63.4;50.8
2A;80;2021-05-03;7387;5917;11632.0;63.5;50.9
2B;24;2021-05-03;550;130;13486.0;4.1;1.0
2B;29;2021-05-03;703;211;9563.0;7.4;2.2
2B;39;2021-05-03;2953;768;22967.0;12.9;3.3
2B;49;2021-05-03;5806;1636;23161.0;25.1;7.1
2B;59;2021-05-03;10467;3713;24702.0;42.4;15.0
2B;64;2021-05-03;6830;2588;11790.0;57.9;22.0
2B;69;2021-05-03;7402;3228;12032.0;61.5;26.8
2B;74;2021-05-03;7891;4553;10849.0;72.7;42.0
2B;79;2021-05-03;5816;4839;8172.0;71.2;59.2
2B;80;2021-05-03;8784;7464;12552.0;70.0;59.5
30;24;2021-05-03;1688;907;52820.0;3.2;1.7
30;29;2021-05-03;1944;1055;34641.0;5.6;3.0
30;39;2021-05-03;5914;2956;84369.0;7.0;3.5
30;49;2021-05-03;9399;4508;91908.0;10.2;4.9
30;59;2021-05-03;26397;8686;103521.0;25.5;8.4
30;64;2021-05-03;23107;4700;50969.0;45.3;9.2
30;69;2021-05-03;27231;6033;50457.0;54.0;12.0
30;74;2021-05-03;35301;13635;45688.0;77.3;29.8
30;79;2021-05-03;25306;19097;30153.0;83.9;63.3
30;80;2021-05-03;36750;27826;50677.0;72.5;54.9
31;24;2021-05-03;5605;1935;147618.0;3.8;1.3
31;29;2021-05-03;5914;2221;96416.0;6.1;2.3
31;39;2021-05-03;13891;5305;194920.0;7.1;2.7
31;49;2021-05-03;19708;7138;184340.0;10.7;3.9
31;59;2021-05-03;55941;14015;174175.0;32.1;8.0
31;64;2021-05-03;40929;6693;72167.0;56.7;9.3
31;69;2021-05-03;39859;6890;65865.0;60.5;10.5
31;74;2021-05-03;43761;13995;59889.0;73.1;23.4
31;79;2021-05-03;31093;20429;39232.0;79.3;52.1
31;80;2021-05-03;50930;35135;70928.0;71.8;49.5
32;24;2021-05-03;491;189;10079.0;4.9;1.9
32;29;2021-05-03;606;266;7305.0;8.3;3.6
32;39;2021-05-03;1720;704;18813.0;9.1;3.7
32;49;2021-05-03;3149;1175;23258.0;13.5;5.1
32;59;2021-05-03;7498;2128;27973.0;26.8;7.6
32;64;2021-05-03;7798;959;14418.0;54.1;6.7
32;69;2021-05-03;8659;988;14445.0;59.9;6.8
32;74;2021-05-03;9403;1823;13008.0;72.3;14.0
32;79;2021-05-03;6616;4057;8613.0;76.8;47.1
32;80;2021-05-03;12360;8122;18030.0;68.6;45.0
33;24;2021-05-03;6264;2440;152227.0;4.1;1.6
33;29;2021-05-03;6872;2551;96491.0;7.1;2.6
33;39;2021-05-03;18521;6675;211536.0;8.8;3.2
33;49;2021-05-03;26758;9129;220133.0;12.2;4.1
33;59;2021-05-03;66193;17169;205186.0;32.3;8.4
33;64;2021-05-03;52037;8449;94195.0;55.2;9.0
33;69;2021-05-03;57325;10752;91164.0;62.9;11.8
33;74;2021-05-03;66800;22204;82221.0;81.2;27.0
33;79;2021-05-03;44322;30862;51472.0;86.1;60.0
33;80;2021-05-03;71356;50378;93624.0;76.2;53.8
34;24;2021-05-03;3582;1127;109686.0;3.3;1.0
34;29;2021-05-03;4468;1602;65836.0;6.8;2.4
34;39;2021-05-03;11721;4529;142491.0;8.2;3.2
34;49;2021-05-03;17509;6669;145553.0;12.0;4.6
34;59;2021-05-03;44159;12536;147241.0;30.0;8.5
34;64;2021-05-03;37016;6801;69781.0;53.0;9.7
34;69;2021-05-03;42208;8784;71456.0;59.1;12.3
34;74;2021-05-03;49688;18852;67486.0;73.6;27.9
34;79;2021-05-03;36818;26728;44508.0;82.7;60.1
34;80;2021-05-03;53531;39285;75563.0;70.8;52.0
35;24;2021-05-03;4932;1158;104190.0;4.7;1.1
35;29;2021-05-03;4907;1370;61845.0;7.9;2.2
35;39;2021-05-03;12391;3634;136675.0;9.1;2.7
35;49;2021-05-03;16091;5159;143253.0;11.2;3.6
35;59;2021-05-03;39623;9756;135357.0;29.3;7.2
35;64;2021-05-03;32646;4017;59016.0;55.3;6.8
35;69;2021-05-03;34593;4506;55998.0;61.8;8.0
35;74;2021-05-03;40993;9282;50609.0;81.0;18.3
35;79;2021-05-03;27267;18495;30280.0;90.0;61.1
35;80;2021-05-03;50504;35757;62438.0;80.9;57.3
36;24;2021-05-03;534;196;13347.0;4.0;1.5
36;29;2021-05-03;601;261;8959.0;6.7;2.9
36;39;2021-05-03;1829;775;20646.0;8.9;3.8
36;49;2021-05-03;2940;1178;25665.0;11.5;4.6
36;59;2021-05-03;8597;2457;30627.0;28.1;8.0
36;64;2021-05-03;8152;1110;16697.0;48.8;6.6
36;69;2021-05-03;9669;1336;16845.0;57.4;7.9
36;74;2021-05-03;11704;2941;15444.0;75.8;19.0
36;79;2021-05-03;8540;6335;9912.0;86.2;63.9
36;80;2021-05-03;15461;11871;20492.0;75.4;57.9
37;24;2021-05-03;2932;791;51128.0;5.7;1.5
37;29;2021-05-03;2500;753;30771.0;8.1;2.4
37;39;2021-05-03;6150;2049;71384.0;8.6;2.9
37;49;2021-05-03;7730;2751;75823.0;10.2;3.6
37;59;2021-05-03;21934;6308;77908.0;28.2;8.1
37;64;2021-05-03;19244;2714;38120.0;50.5;7.1
37;69;2021-05-03;21634;2669;37052.0;58.4;7.2
37;74;2021-05-03;25204;5644;33451.0;75.3;16.9
37;79;2021-05-03;17342;10555;21199.0;81.8;49.8
37;80;2021-05-03;31164;20298;43131.0;72.3;47.1
38;24;2021-05-03;4375;1512;108965.0;4.0;1.4
38;29;2021-05-03;4442;1587;67727.0;6.6;2.3
38;39;2021-05-03;12173;4169;156507.0;7.8;2.7
38;49;2021-05-03;17868;5942;166838.0;10.7;3.6
38;59;2021-05-03;46946;11602;165540.0;28.4;7.0
38;64;2021-05-03;39943;6422;73262.0;54.5;8.8
38;69;2021-05-03;41329;7116;68087.0;60.7;10.5
38;74;2021-05-03;45854;15075;60493.0;75.8;24.9
38;79;2021-05-03;33182;25147;41745.0;79.5;60.2
38;80;2021-05-03;51224;39359;70307.0;72.9;56.0
39;24;2021-05-03;366;193;16259.0;2.3;1.2
39;29;2021-05-03;488;262;11639.0;4.2;2.3
39;39;2021-05-03;1613;943;28552.0;5.6;3.3
39;49;2021-05-03;2820;1610;32094.0;8.8;5.0
39;59;2021-05-03;8664;3232;36427.0;23.8;8.9
39;64;2021-05-03;7994;1685;17732.0;45.1;9.5
39;69;2021-05-03;9142;2107;17001.0;53.8;12.4
39;74;2021-05-03;11787;4028;15842.0;74.4;25.4
39;79;2021-05-03;9091;7280;10318.0;88.1;70.6
39;80;2021-05-03;14454;11558;19732.0;73.3;58.6
40;24;2021-05-03;851;297;23141.0;3.7;1.3
40;29;2021-05-03;1117;461;17313.0;6.5;2.7
40;39;2021-05-03;3405;1401;45849.0;7.4;3.1
40;49;2021-05-03;5818;2377;54129.0;10.7;4.4
40;59;2021-05-03;16575;4754;58062.0;28.5;8.2
40;64;2021-05-03;14741;2565;29228.0;50.4;8.8
40;69;2021-05-03;18133;3598;30256.0;59.9;11.9
40;74;2021-05-03;21787;6931;27412.0;79.5;25.3
40;79;2021-05-03;14576;10708;17201.0;84.7;62.3
40;80;2021-05-03;24208;18258;32052.0;75.5;57.0
41;24;2021-05-03;745;267;20436.0;3.6;1.3
41;29;2021-05-03;821;375;14376.0;5.7;2.6
41;39;2021-05-03;2440;1110;34921.0;7.0;3.2
41;49;2021-05-03;3681;1646;40911.0;9.0;4.0
41;59;2021-05-03;10727;3426;45162.0;23.8;7.6
41;64;2021-05-03;11401;1671;22728.0;50.2;7.4
41;69;2021-05-03;12853;1824;22685.0;56.7;8.0
41;74;2021-05-03;15486;3988;20510.0;75.5;19.4
41;79;2021-05-03;11156;7883;12424.0;89.8;63.4
41;80;2021-05-03;21071;15582;27559.0;76.5;56.5
42;24;2021-05-03;2719;921;61452.0;4.4;1.5
42;29;2021-05-03;2726;1082;38460.0;7.1;2.8
42;39;2021-05-03;8026;3132;87478.0;9.2;3.6
42;49;2021-05-03;12663;4670;93717.0;13.5;5.0
42;59;2021-05-03;29691;8581;96985.0;30.6;8.8
42;64;2021-05-03;23881;4698;45737.0;52.2;10.3
42;69;2021-05-03;26600;6063;46317.0;57.4;13.1
42;74;2021-05-03;31473;11062;44186.0;71.2;25.0
42;79;2021-05-03;22854;16458;28220.0;81.0;58.3
42;80;2021-05-03;39441;28915;55551.0;71.0;52.1
43;24;2021-05-03;369;168;13944.0;2.6;1.2
43;29;2021-05-03;458;250;9892.0;4.6;2.5
43;39;2021-05-03;1510;760;24155.0;6.3;3.1
43;49;2021-05-03;2588;1321;28786.0;9.0;4.6
43;59;2021-05-03;7317;2770;32117.0;22.8;8.6
43;64;2021-05-03;6646;1747;16538.0;40.2;10.6
43;69;2021-05-03;8270;2788;15751.0;52.5;17.7
43;74;2021-05-03;11052;5859;14568.0;75.9;40.2
43;79;2021-05-03;7432;6239;8692.0;85.5;71.8
43;80;2021-05-03;13128;11090;17542.0;74.8;63.2
44;24;2021-05-03;4844;1554;121915.0;4.0;1.3
44;29;2021-05-03;5264;1806;83347.0;6.3;2.2
44;39;2021-05-03;14055;5027;190072.0;7.4;2.6
44;49;2021-05-03;18824;7086;190724.0;9.9;3.7
44;59;2021-05-03;48504;13539;177335.0;27.4;7.6
44;64;2021-05-03;41347;5991;80388.0;51.4;7.5
44;69;2021-05-03;45353;6666;78183.0;58.0;8.5
44;74;2021-05-03;53199;14570;68887.0;77.2;21.2
44;79;2021-05-03;35095;21405;41100.0;85.4;52.1
44;80;2021-05-03;61156;40542;79175.0;77.2;51.2
45;24;2021-05-03;1386;370;53473.0;2.6;0.7
45;29;2021-05-03;1676;509;36199.0;4.6;1.4
45;39;2021-05-03;4807;1648;82596.0;5.8;2.0
45;49;2021-05-03;6750;2319;87117.0;7.7;2.7
45;59;2021-05-03;19597;5228;87500.0;22.4;6.0
